Bond_Sale_Date,Bond_ID,Sale_Amount,Bond_Maturity_Date,Bond_Type,Interest_Rate
2024-05-01 23:16:22.640437,BOND_44,10445.53,2024-09-07 23:16:22.683105,Corporate Bond,2.59
2024-08-04 23:16:22.640437,BOND_134,16248.36,2024-05-07 23:16:22.683105,Corporate Bond,3.56
2024-03-28 23:16:22.640437,BOND_13,46728.94,2025-04-27 23:16:22.683105,Government Bond,4.69
2023-12-02 23:16:22.640437,BOND_193,15253.34,2024-01-26 23:16:22.683105,Corporate Bond,3.13
2024-05-14 23:16:22.640437,BOND_34,18956.04,2024-07-29 23:16:22.683105,Corporate Bond,3.4
2024-08-08 23:16:22.640437,BOND_101,38779.11,2024-12-27 23:16:22.683105,Government Bond,1.06
2024-04-11 23:16:22.640437,BOND_28,31539.91,2025-01-21 23:16:22.683105,Corporate Bond,1.28
2024-08-04 23:16:22.640437,BOND_134,14809.6,2024-12-19 23:16:22.683105,Government Bond,2.78
2024-04-05 23:16:22.640437,BOND_174,42405.85,2025-03-04 23:16:22.683105,Government Bond,4.73
2024-04-19 23:16:22.640437,BOND_133,10760.4,2024-07-12 23:16:22.683105,Corporate Bond,1.63
2023-10-27 23:16:22.640437,BOND_154,21132.26,2025-01-31 23:16:22.683105,Government Bond,1.4
2024-03-02 23:16:22.640437,BOND_181,39696.69,2025-01-18 23:16:22.683105,Corporate Bond,4.68
2024-08-07 23:16:22.640437,BOND_83,46524.15,2023-12-12 23:16:22.683105,Government Bond,4.61
2024-09-12 23:16:22.640437,BOND_55,26664.71,2024-06-13 23:16:22.683105,Corporate Bond,3.54
2024-06-04 23:16:22.640437,BOND_188,34059.26,2025-04-17 23:16:22.683105,Corporate Bond,4.97
2023-11-13 23:16:22.640437,BOND_84,11722.75,2024-09-26 23:16:22.683105,Government Bond,4.16
2023-11-14 23:16:22.640437,BOND_108,17074.95,2025-02-13 23:16:22.683105,Government Bond,1.13
2023-12-12 23:16:22.640437,BOND_50,39503.6,2025-05-02 23:16:22.683105,Corporate Bond,2.13
2023-10-23 23:16:22.640437,BOND_53,10033.1,2024-05-27 23:16:22.683105,Government Bond,1.51
2024-04-21 23:16:22.640437,BOND_179,32400.72,2025-01-07 23:16:22.683105,Corporate Bond,3.26
2024-06-21 23:16:22.640437,BOND_194,26310.6,2024-11-13 23:16:22.683105,Government Bond,4.46
2024-09-24 23:16:22.640437,BOND_127,38682.62,2024-04-28 23:16:22.683105,Government Bond,1.49
2023-12-03 23:16:22.640437,BOND_93,32639.3,2025-03-08 23:16:22.683105,Government Bond,4.86
2024-03-21 23:16:22.640437,BOND_173,38887.34,2024-10-14 23:16:22.683105,Government Bond,2.46
2024-02-19 23:16:22.640437,BOND_58,13284.95,2025-02-08 23:16:22.683105,Government Bond,1.69
2023-10-29 23:16:22.640437,BOND_178,11961.36,2024-11-04 23:16:22.683105,Government Bond,3.96
2024-05-25 23:16:22.640437,BOND_132,28492.87,2024-11-16 23:16:22.683105,Corporate Bond,2.98
2024-09-23 23:16:22.640437,BOND_69,45366.83,2025-04-18 23:16:22.683105,Government Bond,3.72
2024-07-30 23:16:22.640437,BOND_136,41500.99,2025-04-07 23:16:22.683105,Corporate Bond,1.86
2023-12-17 23:16:22.640437,BOND_182,21255.25,2025-01-08 23:16:22.683105,Corporate Bond,3.11
2023-10-19 23:16:22.640437,BOND_89,44811.79,2024-12-24 23:16:22.683105,Government Bond,4.05
2024-09-10 23:16:22.640437,BOND_17,38509.93,2024-11-25 23:16:22.683105,Corporate Bond,1.9
2024-08-17 23:16:22.640437,BOND_54,44120.78,2024-02-02 23:16:22.683105,Corporate Bond,4.89
2024-04-06 23:16:22.640437,BOND_95,42488.36,2024-07-22 23:16:22.683105,Corporate Bond,1.25
2024-08-28 23:16:22.640437,BOND_168,35527.16,2025-02-16 23:16:22.683105,Corporate Bond,3.06
2024-08-11 23:16:22.640437,BOND_137,17393.13,2025-01-15 23:16:22.683105,Corporate Bond,2.64
2024-04-06 23:16:22.640437,BOND_170,26071.88,2024-06-03 23:16:22.683105,Corporate Bond,1.21
2023-10-22 23:16:22.640437,BOND_64,19254.29,2024-10-29 23:16:22.683105,Corporate Bond,2.55
2024-03-05 23:16:22.640437,BOND_15,18589.67,2024-11-15 23:16:22.683105,Government Bond,2.23
2024-07-09 23:16:22.640437,BOND_180,42019.49,2024-11-28 23:16:22.683105,Government Bond,4.61
2024-04-08 23:16:22.640437,BOND_20,30235.89,2025-02-10 23:16:22.683105,Corporate Bond,3.4
2024-05-16 23:16:22.640437,BOND_1,24980.24,2023-11-17 23:16:22.683105,Government Bond,3.57
2024-07-14 23:16:22.640437,BOND_97,39739.2,2024-08-08 23:16:22.683105,Corporate Bond,2.69
2023-10-22 23:16:22.640437,BOND_158,49754.78,2024-10-20 23:16:22.683105,Corporate Bond,1.74
2024-05-27 23:16:22.640437,BOND_177,46407.8,2024-06-18 23:16:22.683105,Corporate Bond,4.7
2023-11-06 23:16:22.640437,BOND_37,45104.64,2024-07-11 23:16:22.683105,Government Bond,3.16
2024-04-14 23:16:22.640437,BOND_194,26729.7,2024-11-20 23:16:22.683105,Corporate Bond,4.88
2023-12-13 23:16:22.640437,BOND_2,25143.7,2024-11-02 23:16:22.683105,Corporate Bond,2.08
2024-06-01 23:16:22.640437,BOND_113,40751.75,2024-11-06 23:16:22.683105,Government Bond,2.37
2024-02-23 23:16:22.640437,BOND_80,19062.57,2025-01-30 23:16:22.683105,Corporate Bond,4.82
2023-10-19 23:16:22.640437,BOND_6,14575.95,2025-04-02 23:16:22.683105,Corporate Bond,1.61
2023-11-28 23:16:22.640437,BOND_30,26670.08,2024-07-19 23:16:22.683105,Government Bond,1.82
2023-12-06 23:16:22.640437,BOND_197,34477.13,2024-11-11 23:16:22.683105,Corporate Bond,3.94
2024-08-27 23:16:22.640437,BOND_93,47918.82,2024-11-06 23:16:22.683105,Corporate Bond,1.3
2023-11-05 23:16:22.640437,BOND_135,30886.99,2025-02-04 23:16:22.683105,Government Bond,2.53
2024-08-16 23:16:22.640437,BOND_39,31648.21,2025-05-09 23:16:22.683105,Corporate Bond,2.71
2024-03-26 23:16:22.640437,BOND_23,21695.68,2024-06-16 23:16:22.683105,Government Bond,3.97
2024-05-30 23:16:22.640437,BOND_122,15950.18,2024-02-01 23:16:22.683105,Corporate Bond,4.45
2024-05-20 23:16:22.640437,BOND_115,43280.49,2025-02-17 23:16:22.683105,Government Bond,1.75
2023-11-05 23:16:22.640437,BOND_57,43049.92,2025-01-10 23:16:22.683105,Government Bond,4.49
2024-07-29 23:16:22.640437,BOND_43,27059.67,2024-08-31 23:16:22.683105,Government Bond,1.72
2024-01-03 23:16:22.640437,BOND_33,38170.24,2024-04-04 23:16:22.683105,Government Bond,2.58
2024-02-14 23:16:22.640437,BOND_183,10184.94,2024-09-11 23:16:22.683105,Corporate Bond,4.51
2024-04-20 23:16:22.640437,BOND_120,16934.74,2024-08-06 23:16:22.683105,Government Bond,3.3
2024-09-28 23:16:22.640437,BOND_160,35589.38,2025-03-29 23:16:22.683105,Government Bond,4.58
2023-11-16 23:16:22.640437,BOND_156,49734.82,2024-11-20 23:16:22.683105,Government Bond,3.86
2024-07-12 23:16:22.640437,BOND_114,10629.36,2025-01-12 23:16:22.683105,Corporate Bond,1.56
2024-09-23 23:16:22.640437,BOND_52,43932.9,2024-07-20 23:16:22.683105,Corporate Bond,3.84
2023-11-08 23:16:22.640437,BOND_178,24736.7,2023-11-27 23:16:22.683105,Government Bond,3.15
2024-02-22 23:16:22.640437,BOND_2,42592.09,2025-01-07 23:16:22.683105,Corporate Bond,3.8
2024-07-18 23:16:22.640437,BOND_175,42980.57,2024-08-19 23:16:22.683105,Government Bond,1.27
2024-05-24 23:16:22.640437,BOND_40,11632.42,2025-02-10 23:16:22.683105,Government Bond,2.56
2024-03-28 23:16:22.640437,BOND_163,15334.37,2024-09-09 23:16:22.683105,Corporate Bond,4.33
2024-07-06 23:16:22.640437,BOND_73,44859.46,2024-03-11 23:16:22.683105,Corporate Bond,1.35
2024-02-22 23:16:22.640437,BOND_67,26346.5,2024-02-02 23:16:22.683105,Corporate Bond,1.51
2024-06-05 23:16:22.640437,BOND_78,31663.71,2025-01-26 23:16:22.683105,Government Bond,4.82
2024-05-08 23:16:22.640437,BOND_6,41933.94,2024-11-07 23:16:22.683105,Corporate Bond,3.69
2024-02-21 23:16:22.640437,BOND_135,20113.02,2025-04-10 23:16:22.683105,Government Bond,1.25
2023-11-13 23:16:22.640437,BOND_112,13624.43,2025-07-03 23:16:22.683105,Government Bond,3.93
2024-05-29 23:16:22.640437,BOND_74,37138.04,2025-08-22 23:16:22.683105,Government Bond,4.24
2024-09-19 23:16:22.640437,BOND_151,35194.9,2025-03-20 23:16:22.683105,Government Bond,3.25
2024-08-06 23:16:22.640437,BOND_69,48753.07,2024-07-07 23:16:22.683105,Corporate Bond,1.98
2024-06-18 23:16:22.640437,BOND_157,21526.55,2024-01-31 23:16:22.683105,Corporate Bond,4.74
2023-10-06 23:16:22.640437,BOND_39,37369.73,2025-02-16 23:16:22.683105,Government Bond,4.12
2024-08-24 23:16:22.640437,BOND_84,47308.32,2025-03-01 23:16:22.683105,Corporate Bond,2.93
2024-01-27 23:16:22.640437,BOND_182,29619.25,2024-12-08 23:16:22.683105,Government Bond,1.11
2024-02-27 23:16:22.640437,BOND_43,42812.96,2024-11-23 23:16:22.683105,Corporate Bond,2.4
2024-04-11 23:16:22.640437,BOND_11,34823.82,2024-05-21 23:16:22.683105,Government Bond,2.85
2024-05-20 23:16:22.640437,BOND_165,15802.58,2024-03-06 23:16:22.683105,Corporate Bond,2.2
2023-12-01 23:16:22.640437,BOND_59,27774.93,2024-09-26 23:16:22.683105,Government Bond,1.27
2024-01-09 23:16:22.640437,BOND_125,18795.87,2024-08-13 23:16:22.683105,Government Bond,4.78
2024-05-13 23:16:22.640437,BOND_115,19365.61,2024-10-07 23:16:22.683105,Corporate Bond,2.96
2023-11-30 23:16:22.640437,BOND_193,39229.7,2024-01-07 23:16:22.683105,Government Bond,1.62
2024-02-13 23:16:22.640437,BOND_92,12193.0,2024-09-23 23:16:22.683105,Corporate Bond,3.26
2023-12-11 23:16:22.640437,BOND_143,26934.73,2024-03-23 23:16:22.683105,Government Bond,4.68
2023-12-11 23:16:22.640437,BOND_166,13799.09,2024-12-19 23:16:22.683105,Corporate Bond,2.2
2024-06-03 23:16:22.640437,BOND_91,31312.13,2024-09-09 23:16:22.683105,Corporate Bond,1.77
2023-12-08 23:16:22.640437,BOND_159,32518.34,2025-04-03 23:16:22.683105,Corporate Bond,3.77
2024-02-23 23:16:22.640437,BOND_127,32785.42,2024-06-15 23:16:22.683105,Government Bond,1.68
2024-07-22 23:16:22.640437,BOND_114,37894.73,2024-12-16 23:16:22.683105,Government Bond,2.15
2024-10-01 23:16:22.640437,BOND_170,32060.81,2024-09-19 23:16:22.683105,Government Bond,3.42
2024-02-11 23:16:22.640437,BOND_98,24028.8,2024-03-28 23:16:22.683105,Corporate Bond,2.01
2024-09-22 23:16:22.640437,BOND_155,12399.27,2024-08-16 23:16:22.683105,Corporate Bond,4.83
2023-11-22 23:16:22.640437,BOND_118,23628.42,2024-10-16 23:16:22.683105,Government Bond,4.85
2024-06-06 23:16:22.640437,BOND_70,21599.23,2024-04-14 23:16:22.683105,Corporate Bond,4.12
2024-07-18 23:16:22.640437,BOND_192,18541.32,2025-02-10 23:16:22.683105,Corporate Bond,4.92
2023-11-03 23:16:22.640437,BOND_16,31621.64,2024-10-08 23:16:22.683105,Government Bond,2.81
2024-05-06 23:16:22.640437,BOND_144,36213.85,2024-11-11 23:16:22.683105,Government Bond,1.93
2024-01-04 23:16:22.640437,BOND_97,43244.78,2025-03-16 23:16:22.683105,Government Bond,3.33
2024-04-13 23:16:22.640437,BOND_23,41858.73,2024-06-30 23:16:22.683105,Corporate Bond,4.29
2023-11-28 23:16:22.640437,BOND_149,12808.07,2025-02-04 23:16:22.683105,Government Bond,1.4
2024-01-02 23:16:22.640437,BOND_142,16974.64,2024-08-26 23:16:22.683105,Government Bond,3.62
2023-12-30 23:16:22.640437,BOND_98,27699.89,2025-07-29 23:16:22.683105,Corporate Bond,2.34
2023-12-31 23:16:22.640437,BOND_85,23560.34,2024-03-25 23:16:22.683105,Government Bond,4.09
2024-03-21 23:16:22.640437,BOND_112,42633.02,2023-12-24 23:16:22.683105,Corporate Bond,2.44
2024-01-09 23:16:22.640437,BOND_49,26803.34,2024-11-25 23:16:22.683105,Corporate Bond,4.14
2024-02-04 23:16:22.640437,BOND_59,10479.48,2024-08-16 23:16:22.683105,Corporate Bond,3.43
2023-12-07 23:16:22.640437,BOND_167,40778.93,2025-05-09 23:16:22.683105,Corporate Bond,3.28
2024-01-08 23:16:22.640437,BOND_23,18908.46,2024-11-07 23:16:22.683105,Corporate Bond,1.71
2024-04-05 23:16:22.640437,BOND_6,41404.71,2024-09-02 23:16:22.683105,Government Bond,1.62
2023-11-30 23:16:22.640437,BOND_33,44874.79,2024-08-25 23:16:22.683105,Corporate Bond,3.42
2024-04-21 23:16:22.640437,BOND_155,18776.1,2024-08-31 23:16:22.683105,Government Bond,1.96
2024-02-04 23:16:22.640437,BOND_100,30509.62,2024-12-09 23:16:22.683105,Government Bond,2.19
2024-06-20 23:16:22.640437,BOND_147,21353.99,2024-11-10 23:16:22.683105,Corporate Bond,4.53
2024-10-02 23:16:22.640437,BOND_95,40712.95,2024-11-04 23:16:22.683105,Government Bond,1.68
2024-01-02 23:16:22.640437,BOND_58,41507.37,2024-10-20 23:16:22.683105,Corporate Bond,2.37
2023-11-26 23:16:22.640437,BOND_44,19873.54,2024-07-23 23:16:22.683105,Corporate Bond,2.13
2024-09-20 23:16:22.640437,BOND_6,16508.91,2024-11-15 23:16:22.683105,Corporate Bond,4.09
2024-05-24 23:16:22.640437,BOND_121,20240.86,2024-04-06 23:16:22.683105,Government Bond,4.75
2024-02-28 23:16:22.640437,BOND_18,10894.94,2024-02-20 23:16:22.683105,Government Bond,2.75
2023-12-10 23:16:22.640437,BOND_81,44414.59,2024-04-19 23:16:22.683105,Corporate Bond,3.34
2023-10-10 23:16:22.640437,BOND_37,15257.98,2024-08-26 23:16:22.683105,Government Bond,1.54
2024-07-21 23:16:22.640437,BOND_82,41243.5,2024-09-26 23:16:22.683105,Corporate Bond,1.94
2024-03-04 23:16:22.640437,BOND_170,27762.2,2024-07-11 23:16:22.683105,Corporate Bond,2.8
2024-01-20 23:16:22.640437,BOND_137,47623.01,2025-04-15 23:16:22.683105,Government Bond,2.8
2023-11-08 23:16:22.640437,BOND_17,35417.29,2025-03-29 23:16:22.683105,Government Bond,3.39
2024-02-09 23:16:22.640437,BOND_149,23934.17,2024-05-12 23:16:22.683105,Government Bond,2.7
2024-07-01 23:16:22.640437,BOND_85,49890.98,2024-07-15 23:16:22.683105,Corporate Bond,2.76
2024-08-18 23:16:22.640437,BOND_196,26823.34,2024-06-30 23:16:22.683105,Government Bond,3.02
2024-05-17 23:16:22.640437,BOND_168,41543.7,2025-02-15 23:16:22.683105,Government Bond,3.29
2024-07-05 23:16:22.640437,BOND_157,22347.83,2024-10-24 23:16:22.683105,Government Bond,4.04
2024-04-05 23:16:22.640437,BOND_155,44265.5,2024-11-03 23:16:22.683105,Corporate Bond,3.54
2023-10-15 23:16:22.640437,BOND_182,31622.72,2025-04-02 23:16:22.683105,Government Bond,2.75
2023-12-12 23:16:22.640437,BOND_11,27303.23,2024-06-11 23:16:22.683105,Government Bond,3.95
2023-11-11 23:16:22.640437,BOND_28,25923.78,2025-05-03 23:16:22.683105,Government Bond,4.85
2023-10-22 23:16:22.640437,BOND_22,19273.81,2024-08-09 23:16:22.683105,Government Bond,1.55
2024-05-14 23:16:22.640437,BOND_198,39685.28,2025-08-25 23:16:22.683105,Corporate Bond,4.31
2024-01-30 23:16:22.640437,BOND_46,29483.94,2025-03-04 23:16:22.683105,Government Bond,1.82
2024-09-16 23:16:22.640437,BOND_153,34699.74,2024-06-20 23:16:22.683105,Corporate Bond,1.69
2024-02-03 23:16:22.640437,BOND_149,26143.16,2025-02-19 23:16:22.683105,Corporate Bond,2.55
2024-05-04 23:16:22.640437,BOND_136,25214.07,2024-02-15 23:16:22.683105,Government Bond,2.54
2023-11-15 23:16:22.640437,BOND_91,15245.32,2024-10-27 23:16:22.683105,Corporate Bond,4.88
2024-06-03 23:16:22.640437,BOND_110,43205.86,2024-11-05 23:16:22.683105,Corporate Bond,4.18
2024-10-02 23:16:22.640437,BOND_1,24691.69,2024-09-23 23:16:22.683105,Government Bond,2.96
2024-03-05 23:16:22.640437,BOND_99,12979.52,2024-11-13 23:16:22.683105,Corporate Bond,2.1
2024-07-12 23:16:22.641437,BOND_183,25221.11,2025-02-22 23:16:22.683105,Corporate Bond,4.18
2023-12-18 23:16:22.641437,BOND_155,22196.29,2024-09-13 23:16:22.683105,Corporate Bond,1.01
2023-10-24 23:16:22.641437,BOND_182,16481.21,2024-09-13 23:16:22.683105,Corporate Bond,1.48
2023-12-18 23:16:22.641437,BOND_103,32929.61,2025-01-02 23:16:22.683105,Corporate Bond,2.34
2024-06-04 23:16:22.641437,BOND_118,33378.01,2024-07-15 23:16:22.683105,Government Bond,2.52
2024-08-30 23:16:22.641437,BOND_45,46526.9,2025-02-14 23:16:22.683105,Corporate Bond,1.38
2024-04-17 23:16:22.641437,BOND_185,39420.15,2025-01-22 23:16:22.683105,Corporate Bond,3.61
2024-07-10 23:16:22.641437,BOND_81,35327.67,2024-12-13 23:16:22.683105,Government Bond,2.12
2024-06-07 23:16:22.641437,BOND_59,10484.04,2024-12-25 23:16:22.683105,Corporate Bond,4.33
2024-03-29 23:16:22.641437,BOND_64,21416.83,2024-07-30 23:16:22.683105,Corporate Bond,2.34
2023-12-16 23:16:22.641437,BOND_98,45324.85,2023-12-29 23:16:22.683105,Corporate Bond,3.1
2024-09-02 23:16:22.641437,BOND_136,15445.54,2024-11-18 23:16:22.683105,Government Bond,1.01
2024-07-03 23:16:22.641437,BOND_144,47084.3,2025-05-14 23:16:22.683105,Government Bond,4.6
2024-04-23 23:16:22.641437,BOND_134,49367.27,2024-01-31 23:16:22.683105,Corporate Bond,4.85
2023-10-05 23:16:22.641549,BOND_133,39715.36,2025-03-31 23:16:22.683105,Government Bond,4.78
2024-09-21 23:16:22.641549,BOND_64,47983.69,2024-09-27 23:16:22.683105,Corporate Bond,2.75
2024-01-24 23:16:22.641549,BOND_190,48982.17,2025-03-28 23:16:22.683105,Government Bond,1.93
2024-07-31 23:16:22.641549,BOND_18,34416.51,2024-10-21 23:16:22.683105,Government Bond,1.81
2024-08-01 23:16:22.641549,BOND_98,35569.2,2024-06-04 23:16:22.683105,Government Bond,4.0
2024-04-10 23:16:22.641549,BOND_117,17569.01,2025-01-27 23:16:22.683105,Corporate Bond,4.67
2024-02-01 23:16:22.641549,BOND_91,16078.01,2024-09-27 23:16:22.683105,Corporate Bond,4.03
2024-07-22 23:16:22.641549,BOND_122,33495.67,2024-12-15 23:16:22.683105,Government Bond,4.12
2024-07-02 23:16:22.641549,BOND_184,22448.49,2025-06-25 23:16:22.683105,Government Bond,4.2
2024-06-01 23:16:22.641549,BOND_139,26810.12,2024-08-26 23:16:22.683105,Government Bond,1.39
2024-09-07 23:16:22.641549,BOND_47,42532.67,2024-09-28 23:16:22.683105,Corporate Bond,2.57
2024-03-13 23:16:22.641549,BOND_157,33464.75,2024-07-07 23:16:22.683105,Corporate Bond,4.45
2024-04-03 23:16:22.641549,BOND_166,43030.55,2024-04-16 23:16:22.683105,Government Bond,1.18
2024-06-07 23:16:22.641549,BOND_93,35093.77,2025-02-18 23:16:22.683105,Government Bond,1.56
2024-02-19 23:16:22.641549,BOND_57,36512.17,2024-01-19 23:16:22.683105,Corporate Bond,4.51
