Expense_Date,Expense_Type,Expense_Amount,Payment_Method,Cost_Center/Department
2024-05-21 23:16:33.972190,Utilities,11449.91,Check,IT
2024-07-06 23:16:33.972190,Technology,19608.29,Credit Card,HR
2024-03-30 23:16:33.972190,Rent,9629.21,Credit Card,HR
2024-01-02 23:16:33.972190,Salaries,2394.37,Check,Finance
2023-12-07 23:16:33.972190,Maintenance,19805.63,Check,IT
2024-07-23 23:16:33.972190,Technology,1985.32,Check,HR
2024-06-13 23:16:33.972190,Rent,13221.3,Direct Debit,Finance
2024-02-16 23:16:33.972190,Rent,10371.53,Check,Finance
2023-10-10 23:16:33.972190,Rent,10216.5,Direct Debit,Marketing
2024-04-08 23:16:33.972190,Technology,15771.65,Credit Card,Marketing
2024-09-15 23:16:33.972190,Utilities,9279.69,Credit Card,Marketing
2024-02-05 23:16:33.972190,Maintenance,14216.65,Credit Card,HR
2024-05-05 23:16:33.972190,Technology,17501.46,Credit Card,Operations
2024-01-17 23:16:33.972190,Maintenance,16469.39,Check,Marketing
2024-01-05 23:16:33.972190,Maintenance,15952.77,Direct Debit,Operations
2024-01-24 23:16:33.972190,Salaries,18888.27,Credit Card,IT
2024-09-22 23:16:33.972190,Rent,13343.99,Credit Card,Operations
2023-12-02 23:16:33.972190,Salaries,7309.35,Check,IT
2023-10-30 23:16:33.972190,Salaries,11270.91,Credit Card,Finance
2024-06-05 23:16:33.972190,Rent,18091.48,Check,Marketing
2024-07-31 23:16:33.972190,Technology,18318.98,Credit Card,Finance
2024-05-29 23:16:33.972190,Utilities,18811.32,Direct Debit,HR
2023-10-30 23:16:33.972190,Rent,12370.74,Direct Debit,Finance
2023-11-28 23:16:33.972190,Maintenance,12638.46,Direct Debit,IT
2024-08-07 23:16:33.972190,Technology,12794.76,Direct Debit,HR
2024-03-29 23:16:33.972190,Rent,13937.27,Check,Operations
2024-08-08 23:16:33.972190,Rent,1057.88,Direct Debit,Finance
2024-02-14 23:16:33.972190,Technology,12655.98,Credit Card,Operations
2024-03-01 23:16:33.972190,Technology,19097.94,Credit Card,Operations
2024-05-03 23:16:33.972190,Utilities,2852.78,Direct Debit,Marketing
2023-10-16 23:16:33.972190,Technology,5389.52,Direct Debit,Marketing
2023-12-26 23:16:33.972190,Utilities,3131.54,Direct Debit,Marketing
2023-11-18 23:16:33.972190,Utilities,10993.64,Direct Debit,Operations
2023-11-01 23:16:33.972190,Rent,1344.87,Credit Card,HR
2024-08-31 23:16:33.972190,Utilities,15206.34,Direct Debit,Finance
2024-02-12 23:16:33.972190,Salaries,11451.75,Direct Debit,HR
2024-04-11 23:16:33.972190,Utilities,16515.57,Credit Card,Operations
2024-07-01 23:16:33.972190,Rent,8572.14,Check,Marketing
2023-11-04 23:16:33.972190,Technology,10339.8,Direct Debit,Operations
2024-06-21 23:16:33.972190,Technology,2736.36,Direct Debit,Marketing
2024-09-13 23:16:33.972190,Technology,1627.74,Direct Debit,Operations
2024-02-04 23:16:33.972190,Rent,6922.61,Check,Operations
2024-01-17 23:16:33.972190,Rent,13726.61,Check,Finance
2024-09-05 23:16:33.972190,Salaries,5630.4,Direct Debit,Operations
2024-08-28 23:16:33.972190,Technology,9160.34,Credit Card,Operations
2024-07-06 23:16:33.972190,Utilities,4499.49,Credit Card,Finance
2024-04-26 23:16:33.972190,Salaries,2728.6,Check,IT
2023-12-29 23:16:33.972190,Utilities,10590.68,Check,Finance
2023-10-13 23:16:33.972190,Technology,3740.05,Credit Card,Finance
2023-10-27 23:16:33.972190,Utilities,14466.86,Direct Debit,HR
2023-12-29 23:16:33.972190,Salaries,8393.42,Check,Operations
2023-11-04 23:16:33.972190,Utilities,5474.63,Check,Operations
2024-03-06 23:16:33.972190,Salaries,18332.21,Check,Finance
2023-10-15 23:16:33.972190,Rent,10396.02,Direct Debit,Marketing
2024-03-27 23:16:33.972190,Rent,12965.07,Check,IT
2023-11-10 23:16:33.972190,Utilities,14910.94,Credit Card,HR
2024-02-03 23:16:33.972190,Maintenance,10402.24,Check,Finance
2024-08-08 23:16:33.972190,Utilities,19222.06,Credit Card,IT
2023-10-21 23:16:33.972190,Salaries,14707.77,Check,IT
2024-02-16 23:16:33.972190,Utilities,12920.89,Check,IT
2024-04-14 23:16:33.972190,Salaries,8407.86,Direct Debit,Marketing
2024-07-18 23:16:33.972190,Maintenance,13899.19,Direct Debit,Marketing
2024-01-29 23:16:33.972190,Salaries,6410.33,Check,Finance
2023-12-03 23:16:33.972190,Salaries,8377.17,Direct Debit,Marketing
2024-07-31 23:16:33.972190,Technology,5255.63,Check,Finance
2024-03-18 23:16:33.972190,Rent,15997.49,Credit Card,HR
2024-01-01 23:16:33.972190,Utilities,4616.15,Credit Card,Finance
2024-05-13 23:16:33.972190,Rent,19652.3,Credit Card,IT
2024-09-24 23:16:33.972190,Technology,18289.16,Check,IT
2024-07-13 23:16:33.972190,Salaries,16344.76,Check,Finance
2024-05-31 23:16:33.972190,Maintenance,17156.08,Direct Debit,Finance
2024-07-11 23:16:33.972190,Salaries,4546.08,Credit Card,Marketing
2023-11-19 23:16:33.972190,Maintenance,5147.67,Credit Card,Marketing
2024-06-17 23:16:33.972190,Maintenance,17594.52,Credit Card,HR
2023-11-16 23:16:33.972190,Rent,14426.28,Credit Card,Operations
2024-08-19 23:16:33.972190,Salaries,1580.61,Direct Debit,Operations
2023-12-21 23:16:33.972190,Maintenance,4091.98,Credit Card,Finance
2024-03-19 23:16:33.972190,Maintenance,2977.7,Check,HR
2023-10-06 23:16:33.972190,Utilities,6962.08,Check,Marketing
2024-05-01 23:16:33.972190,Rent,16133.23,Direct Debit,HR
2024-05-07 23:16:33.972190,Salaries,15000.81,Direct Debit,Marketing
2023-11-07 23:16:33.972190,Salaries,12688.28,Check,HR
2023-12-03 23:16:33.972190,Rent,17895.11,Check,Finance
2023-12-02 23:16:33.972190,Maintenance,19498.15,Direct Debit,Operations
2024-02-12 23:16:33.972190,Rent,19282.11,Direct Debit,IT
2024-05-26 23:16:33.972190,Technology,17271.84,Credit Card,IT
2023-11-04 23:16:33.972190,Technology,17083.85,Check,IT
2024-06-16 23:16:33.972190,Rent,17171.85,Check,Finance
2024-03-11 23:16:33.972190,Technology,9983.29,Credit Card,Marketing
2023-11-08 23:16:33.972190,Rent,19920.41,Check,Marketing
2024-04-11 23:16:33.972190,Rent,4631.11,Direct Debit,Operations
2024-08-15 23:16:33.972190,Rent,4869.25,Credit Card,Finance
2024-08-14 23:16:33.972190,Technology,4247.86,Credit Card,Finance
2024-02-18 23:16:33.972190,Technology,7104.3,Check,Marketing
2023-11-10 23:16:33.972190,Salaries,11647.74,Credit Card,Finance
2023-11-03 23:16:33.972190,Salaries,5605.0,Check,HR
2024-03-22 23:16:33.972190,Technology,16970.76,Direct Debit,Marketing
2024-04-28 23:16:33.972190,Rent,1936.17,Direct Debit,HR
2023-12-07 23:16:33.972190,Rent,8143.93,Credit Card,Finance
2024-06-16 23:16:33.972190,Salaries,6325.58,Credit Card,IT
2024-03-06 23:16:33.972190,Salaries,3481.25,Check,Marketing
2024-09-13 23:16:33.972190,Maintenance,14542.16,Credit Card,Operations
2024-07-24 23:16:33.972190,Salaries,2370.78,Direct Debit,HR
2024-04-08 23:16:33.972190,Rent,18842.42,Check,HR
2024-08-26 23:16:33.972190,Maintenance,14254.23,Direct Debit,IT
2024-05-01 23:16:33.972190,Maintenance,7832.67,Check,Marketing
2024-01-18 23:16:33.972190,Utilities,14222.18,Direct Debit,Finance
2023-10-13 23:16:33.972190,Utilities,8957.68,Credit Card,Operations
2024-08-06 23:16:33.972190,Technology,14751.56,Credit Card,HR
2023-11-02 23:16:33.972190,Technology,10973.82,Direct Debit,Finance
2024-07-10 23:16:33.972190,Rent,18574.73,Check,IT
2024-05-25 23:16:33.972190,Technology,9941.98,Check,Operations
2023-11-28 23:16:33.972190,Salaries,3800.4,Direct Debit,HR
2024-04-05 23:16:33.972190,Utilities,1414.38,Check,Operations
2024-01-04 23:16:33.972190,Utilities,1811.16,Check,HR
2024-08-30 23:16:33.972190,Technology,7156.72,Direct Debit,Operations
2024-04-14 23:16:33.972190,Technology,9958.63,Direct Debit,HR
2024-06-16 23:16:33.972190,Maintenance,6792.46,Direct Debit,HR
2024-06-10 23:16:33.972190,Rent,17174.45,Direct Debit,Operations
2024-06-14 23:16:33.972190,Utilities,14071.22,Direct Debit,Finance
2024-07-17 23:16:33.972190,Maintenance,10685.46,Direct Debit,IT
2024-01-25 23:16:33.972190,Technology,9521.55,Check,Operations
2024-01-02 23:16:33.972190,Technology,19445.52,Credit Card,IT
2024-09-08 23:16:33.972190,Rent,19930.71,Credit Card,IT
2024-03-22 23:16:33.972190,Rent,9146.81,Credit Card,HR
2024-08-03 23:16:33.972190,Utilities,7770.78,Check,Marketing
2024-08-24 23:16:33.972190,Technology,6721.56,Direct Debit,HR
2024-03-26 23:16:33.972190,Rent,19052.64,Direct Debit,HR
2024-01-10 23:16:33.972190,Maintenance,19612.28,Credit Card,Finance
2023-11-05 23:16:33.972190,Rent,17329.49,Direct Debit,IT
2023-12-26 23:16:33.972190,Technology,13821.75,Direct Debit,Marketing
2024-01-25 23:16:33.972190,Technology,16198.68,Direct Debit,Operations
2024-09-15 23:16:33.972190,Utilities,18319.06,Credit Card,Marketing
2024-04-10 23:16:33.972190,Technology,18230.34,Check,Finance
2024-01-14 23:16:33.972190,Salaries,11511.52,Direct Debit,Operations
2024-07-11 23:16:33.972190,Rent,16120.87,Check,Operations
2024-01-31 23:16:33.972190,Rent,17938.77,Check,Operations
2024-04-20 23:16:33.972190,Rent,3207.9,Direct Debit,Finance
2023-12-19 23:16:33.972190,Salaries,10021.4,Credit Card,HR
2024-05-07 23:16:33.972190,Salaries,17522.65,Direct Debit,IT
2024-05-07 23:16:33.972190,Salaries,2500.98,Credit Card,Finance
2023-11-30 23:16:33.972190,Maintenance,3067.64,Credit Card,Marketing
2024-05-04 23:16:33.972190,Maintenance,2748.73,Check,IT
2024-06-10 23:16:33.972190,Utilities,2121.97,Direct Debit,Marketing
2023-12-15 23:16:33.972190,Salaries,9659.68,Direct Debit,HR
2024-01-12 23:16:33.972190,Maintenance,16270.86,Credit Card,HR
2024-05-24 23:16:33.972190,Rent,18568.95,Credit Card,HR
2024-02-09 23:16:33.972190,Maintenance,10540.58,Credit Card,HR
2024-03-28 23:16:33.972190,Maintenance,12256.74,Check,IT
2024-06-14 23:16:33.972190,Utilities,18641.06,Credit Card,HR
2024-03-27 23:16:33.972190,Salaries,4790.89,Check,Operations
2024-06-03 23:16:33.972190,Salaries,10314.67,Direct Debit,Finance
2024-05-07 23:16:33.972190,Rent,7896.63,Direct Debit,Operations
2023-11-12 23:16:33.972190,Utilities,18305.32,Direct Debit,Marketing
2024-01-12 23:16:33.972190,Salaries,16524.91,Credit Card,HR
2023-12-01 23:16:33.972190,Maintenance,6915.48,Check,Operations
2024-07-08 23:16:33.972190,Salaries,18342.0,Credit Card,Finance
2024-01-14 23:16:33.972190,Maintenance,10964.09,Check,Marketing
2023-12-17 23:16:33.972190,Technology,13990.76,Direct Debit,IT
2024-01-08 23:16:33.972190,Maintenance,4670.55,Direct Debit,Finance
2023-10-07 23:16:33.972190,Salaries,8582.12,Credit Card,HR
2024-05-25 23:16:33.972190,Maintenance,6125.05,Check,Finance
2024-01-14 23:16:33.972190,Salaries,2152.2,Credit Card,IT
2024-02-27 23:16:33.972190,Technology,12001.18,Direct Debit,Finance
2023-12-11 23:16:33.972190,Maintenance,5668.87,Direct Debit,Operations
2024-05-25 23:16:33.972190,Technology,1169.62,Check,HR
2024-08-20 23:16:33.972190,Technology,4619.54,Direct Debit,HR
2024-08-05 23:16:33.972190,Maintenance,16734.51,Direct Debit,Finance
2023-11-01 23:16:33.972190,Salaries,14302.93,Credit Card,IT
2024-01-31 23:16:33.972190,Maintenance,3781.16,Check,Operations
2023-11-02 23:16:33.972190,Maintenance,2839.79,Direct Debit,HR
2023-11-20 23:16:33.972190,Technology,1750.3,Credit Card,Marketing
2024-02-26 23:16:33.972190,Maintenance,4574.89,Credit Card,Finance
2023-11-24 23:16:33.972190,Technology,11179.27,Direct Debit,Marketing
2024-08-25 23:16:33.972190,Maintenance,9101.22,Direct Debit,HR
2024-03-30 23:16:33.972190,Maintenance,12287.36,Direct Debit,HR
2023-10-20 23:16:33.972190,Maintenance,1546.87,Check,Finance
2024-01-02 23:16:33.972190,Utilities,9889.43,Check,Operations
2024-01-07 23:16:33.972190,Salaries,14037.58,Credit Card,Finance
2024-06-24 23:16:33.972190,Maintenance,18756.12,Check,Finance
2024-04-11 23:16:33.972190,Rent,6027.35,Credit Card,HR
2024-07-31 23:16:33.972190,Maintenance,12241.96,Check,Marketing
2024-06-11 23:16:33.972190,Technology,14107.05,Direct Debit,HR
2023-10-11 23:16:33.972190,Rent,6379.26,Direct Debit,Finance
2023-10-28 23:16:33.972190,Technology,7032.07,Direct Debit,HR
2023-12-20 23:16:33.972190,Maintenance,3571.31,Direct Debit,Finance
2024-02-09 23:16:33.972190,Technology,12345.97,Credit Card,Finance
2024-08-12 23:16:33.972190,Utilities,19295.51,Credit Card,IT
2024-07-17 23:16:33.972190,Maintenance,12351.18,Check,IT
2024-07-04 23:16:33.972190,Salaries,1156.64,Direct Debit,IT
2024-05-20 23:16:33.972190,Utilities,11620.4,Credit Card,Marketing
2023-10-12 23:16:33.972190,Utilities,2140.35,Check,Finance
2024-05-15 23:16:33.972190,Salaries,17292.64,Credit Card,Finance
2024-07-09 23:16:33.972190,Rent,13688.72,Check,Finance
2023-11-18 23:16:33.972190,Utilities,8440.13,Direct Debit,Marketing
2023-10-15 23:16:33.972190,Rent,10291.66,Check,Operations
2024-02-07 23:16:33.972190,Maintenance,9102.15,Credit Card,Finance
2023-10-28 23:16:33.972190,Maintenance,2083.03,Direct Debit,Finance
2023-10-31 23:16:33.972190,Technology,4674.56,Direct Debit,Operations
2024-06-08 23:16:33.972190,Maintenance,17664.74,Check,HR
2024-04-30 23:16:33.972190,Rent,18650.12,Credit Card,Operations
2024-06-27 23:16:33.972190,Maintenance,10430.78,Check,HR
2024-08-09 23:16:33.972190,Salaries,16020.83,Credit Card,Marketing
2024-07-03 23:16:33.972190,Rent,16775.1,Credit Card,Operations
2024-08-07 23:16:33.972190,Technology,4204.19,Check,Operations
2024-07-23 23:16:33.972190,Rent,5347.32,Credit Card,IT
2023-12-27 23:16:33.972190,Utilities,19579.61,Check,Finance
2023-11-17 23:16:33.972190,Salaries,18739.72,Check,HR
2023-11-18 23:16:33.972190,Maintenance,1377.04,Direct Debit,Operations
2024-04-14 23:16:33.972190,Rent,19378.68,Credit Card,Marketing
2024-05-25 23:16:33.972190,Salaries,9081.87,Credit Card,HR
2024-02-02 23:16:33.972190,Technology,19587.0,Credit Card,Finance
2023-11-28 23:16:33.972190,Technology,1077.47,Check,Finance
2024-09-30 23:16:33.972190,Technology,18249.25,Credit Card,Operations
2024-09-30 23:16:33.972190,Rent,4353.6,Direct Debit,Operations
2024-01-21 23:16:33.972190,Technology,6993.81,Direct Debit,IT
2023-11-14 23:16:33.972190,Rent,10652.77,Credit Card,Marketing
2024-03-28 23:16:33.972190,Maintenance,13114.07,Check,HR
2024-08-18 23:16:33.972190,Maintenance,3799.84,Check,Marketing
2024-08-17 23:16:33.972190,Utilities,7457.62,Direct Debit,Operations
2024-07-07 23:16:33.972190,Salaries,10238.94,Check,IT
2024-08-11 23:16:33.972190,Utilities,4975.16,Direct Debit,Marketing
2024-04-03 23:16:33.972190,Utilities,1752.01,Credit Card,HR
2024-01-25 23:16:33.972190,Maintenance,4461.52,Direct Debit,Finance
2024-01-04 23:16:33.972190,Technology,4300.18,Check,Marketing
2024-03-27 23:16:33.972190,Utilities,13208.29,Direct Debit,Finance
2024-09-12 23:16:33.972190,Technology,15813.03,Direct Debit,Finance
2023-10-15 23:16:33.972190,Utilities,18181.05,Check,HR
2024-03-16 23:16:33.972190,Maintenance,15837.75,Credit Card,Operations
2024-06-22 23:16:33.972190,Maintenance,15698.86,Credit Card,IT
2024-03-05 23:16:33.972190,Maintenance,16076.11,Direct Debit,HR
2024-06-25 23:16:33.972190,Rent,13142.94,Credit Card,HR
2023-10-19 23:16:33.972190,Technology,8320.49,Credit Card,HR
2024-03-12 23:16:33.972190,Utilities,14921.84,Check,Operations
