Transfer_Date,Transaction_ID,Counterparty_Bank,Transfer_Amount,Transfer_Currency,Transfer_Type,Transfer_Purpose
2024-06-04 23:16:44.529975,TXN_133,Bank A,38926.44,GBP,Outbound,Liquidity Management
2024-04-11 23:16:44.529975,TXN_360,Bank B,34739.03,USD,Outbound,Settlement
2024-04-11 23:16:44.529975,TXN_218,Bank C,38910.68,USD,Inbound,Liquidity Management
2024-04-30 23:16:44.529975,TXN_991,Bank B,20631.23,USD,Inbound,Liquidity Management
2024-04-05 23:16:44.529975,TXN_863,Bank B,28290.21,GBP,Outbound,Settlement
2024-03-20 23:16:44.529975,TXN_451,Bank B,26974.88,GBP,Outbound,Liquidity Management
2024-02-03 23:16:44.529975,TXN_664,Bank A,25169.74,USD,Outbound,Settlement
2024-06-01 23:16:44.529975,TXN_622,Bank B,23216.45,USD,Inbound,Liquidity Management
2023-11-18 23:16:44.529975,TXN_7,Bank B,17748.52,GBP,Outbound,Liquidity Management
2024-06-13 23:16:44.529975,TXN_130,Bank B,18329.05,GBP,Inbound,Liquidity Management
2024-04-28 23:16:44.529975,TXN_83,Bank B,12152.48,EUR,Inbound,Settlement
2023-11-30 23:16:44.529975,TXN_867,Bank A,40979.43,USD,Outbound,Liquidity Management
2024-01-17 23:16:44.529975,TXN_316,Bank A,49670.82,EUR,Outbound,Settlement
2024-02-21 23:16:44.529975,TXN_274,Bank A,18192.87,GBP,Outbound,Settlement
2024-03-26 23:16:44.529975,TXN_260,Bank A,37659.79,USD,Outbound,Liquidity Management
2024-06-14 23:16:44.529975,TXN_890,Bank A,27153.7,EUR,Outbound,Settlement
2024-08-25 23:16:44.529975,TXN_114,Bank A,24517.07,GBP,Inbound,Settlement
2024-07-30 23:16:44.529975,TXN_474,Bank B,36205.04,USD,Inbound,Settlement
2024-07-17 23:16:44.529975,TXN_914,Bank A,24065.83,EUR,Outbound,Settlement
2024-06-07 23:16:44.529975,TXN_92,Bank C,23100.47,GBP,Inbound,Liquidity Management
2023-12-21 23:16:44.529975,TXN_499,Bank B,16196.57,USD,Outbound,Settlement
2024-04-11 23:16:44.529975,TXN_265,Bank C,14870.75,EUR,Inbound,Liquidity Management
2023-12-03 23:16:44.529975,TXN_43,Bank C,33840.47,GBP,Outbound,Liquidity Management
2024-01-19 23:16:44.529975,TXN_410,Bank A,45320.72,GBP,Inbound,Settlement
2024-03-15 23:16:44.529975,TXN_183,Bank C,13172.74,USD,Inbound,Liquidity Management
2024-02-26 23:16:44.529975,TXN_570,Bank B,15694.62,USD,Outbound,Liquidity Management
2024-09-24 23:16:44.529975,TXN_466,Bank A,40766.01,GBP,Outbound,Settlement
2024-08-27 23:16:44.530975,TXN_651,Bank A,33913.51,GBP,Outbound,Settlement
2024-05-03 23:16:44.530975,TXN_782,Bank B,40519.77,USD,Outbound,Liquidity Management
2024-03-19 23:16:44.530975,TXN_534,Bank C,29754.4,EUR,Outbound,Liquidity Management
2023-12-04 23:16:44.530975,TXN_557,Bank A,14573.63,EUR,Inbound,Liquidity Management
2023-11-18 23:16:44.530975,TXN_680,Bank A,21969.2,EUR,Inbound,Liquidity Management
2024-06-16 23:16:44.530975,TXN_303,Bank A,37141.37,GBP,Outbound,Settlement
2024-07-17 23:16:44.530975,TXN_853,Bank B,10054.25,USD,Outbound,Settlement
2024-04-20 23:16:44.530975,TXN_533,Bank A,21086.73,GBP,Outbound,Liquidity Management
2024-04-08 23:16:44.530975,TXN_244,Bank A,39022.35,USD,Inbound,Settlement
2023-12-27 23:16:44.530975,TXN_703,Bank C,21056.26,USD,Outbound,Settlement
2024-09-12 23:16:44.530975,TXN_448,Bank C,36440.98,EUR,Inbound,Liquidity Management
2023-12-20 23:16:44.530975,TXN_215,Bank A,19209.38,USD,Inbound,Liquidity Management
2024-03-30 23:16:44.530975,TXN_279,Bank B,23991.57,GBP,Inbound,Settlement
2024-03-19 23:16:44.530975,TXN_184,Bank B,48633.1,GBP,Outbound,Settlement
2024-01-10 23:16:44.530975,TXN_946,Bank B,20282.68,USD,Outbound,Settlement
2024-08-01 23:16:44.530975,TXN_925,Bank A,38718.05,EUR,Outbound,Liquidity Management
2024-10-02 23:16:44.530975,TXN_193,Bank A,17577.87,USD,Inbound,Liquidity Management
2024-06-30 23:16:44.530975,TXN_48,Bank C,29555.19,GBP,Outbound,Liquidity Management
2023-11-30 23:16:44.530975,TXN_737,Bank C,45872.32,EUR,Outbound,Settlement
2024-09-29 23:16:44.530975,TXN_203,Bank B,29470.35,EUR,Outbound,Liquidity Management
2024-02-14 23:16:44.530975,TXN_273,Bank B,37089.33,USD,Outbound,Settlement
2023-12-20 23:16:44.530975,TXN_503,Bank A,45326.97,GBP,Outbound,Liquidity Management
2023-11-13 23:16:44.530975,TXN_679,Bank C,24747.36,GBP,Outbound,Liquidity Management
2024-02-19 23:16:44.530975,TXN_86,Bank A,15606.63,USD,Inbound,Settlement
2023-10-29 23:16:44.530975,TXN_209,Bank B,48864.04,USD,Outbound,Settlement
2023-10-28 23:16:44.530975,TXN_125,Bank B,34785.68,GBP,Inbound,Settlement
2024-04-07 23:16:44.530975,TXN_215,Bank A,41723.57,USD,Outbound,Settlement
2024-07-29 23:16:44.530975,TXN_355,Bank C,41714.55,GBP,Outbound,Liquidity Management
2024-02-27 23:16:44.530975,TXN_379,Bank C,41087.01,GBP,Outbound,Liquidity Management
2024-01-30 23:16:44.530975,TXN_697,Bank A,47932.04,EUR,Inbound,Liquidity Management
2023-11-18 23:16:44.530975,TXN_724,Bank A,25748.2,USD,Outbound,Settlement
2024-02-23 23:16:44.530975,TXN_441,Bank A,43251.68,EUR,Outbound,Settlement
2023-10-05 23:16:44.530975,TXN_547,Bank A,30096.97,GBP,Inbound,Liquidity Management
2024-06-29 23:16:44.530975,TXN_726,Bank C,39958.77,USD,Outbound,Settlement
2024-09-18 23:16:44.530975,TXN_904,Bank C,24058.14,GBP,Outbound,Settlement
2024-02-12 23:16:44.530975,TXN_124,Bank C,44866.32,GBP,Inbound,Liquidity Management
2023-10-28 23:16:44.530975,TXN_548,Bank A,36095.27,USD,Inbound,Liquidity Management
2024-05-21 23:16:44.530975,TXN_472,Bank B,35782.48,USD,Inbound,Settlement
2024-01-09 23:16:44.530975,TXN_620,Bank B,25523.3,EUR,Outbound,Settlement
2023-12-11 23:16:44.530975,TXN_844,Bank A,35912.06,USD,Inbound,Settlement
2023-11-24 23:16:44.530975,TXN_594,Bank A,34407.85,GBP,Outbound,Settlement
2024-05-26 23:16:44.530975,TXN_358,Bank C,15461.75,USD,Outbound,Liquidity Management
2024-04-28 23:16:44.530975,TXN_677,Bank C,23877.92,GBP,Inbound,Settlement
2024-04-20 23:16:44.530975,TXN_228,Bank A,39384.67,USD,Outbound,Liquidity Management
2024-01-15 23:16:44.530975,TXN_497,Bank B,11453.32,USD,Outbound,Liquidity Management
2024-04-13 23:16:44.530975,TXN_261,Bank C,36181.71,GBP,Inbound,Settlement
2023-11-06 23:16:44.530975,TXN_710,Bank A,35481.14,GBP,Inbound,Liquidity Management
2024-04-27 23:16:44.530975,TXN_803,Bank A,20974.76,USD,Inbound,Settlement
2024-05-01 23:16:44.530975,TXN_36,Bank A,39645.43,GBP,Inbound,Liquidity Management
2024-06-11 23:16:44.530975,TXN_196,Bank C,21477.41,USD,Inbound,Settlement
2024-03-18 23:16:44.530975,TXN_336,Bank C,42784.95,EUR,Outbound,Liquidity Management
2024-09-18 23:16:44.530975,TXN_189,Bank A,24028.07,EUR,Inbound,Settlement
2024-02-21 23:16:44.530975,TXN_980,Bank C,41521.02,EUR,Outbound,Settlement
2024-06-15 23:16:44.530975,TXN_661,Bank A,35699.18,EUR,Outbound,Settlement
2024-04-30 23:16:44.530975,TXN_735,Bank C,46578.3,USD,Outbound,Settlement
2023-10-19 23:16:44.530975,TXN_703,Bank A,12297.15,USD,Outbound,Liquidity Management
2024-08-20 23:16:44.530975,TXN_150,Bank C,24568.98,USD,Outbound,Settlement
2024-06-15 23:16:44.530975,TXN_403,Bank C,20782.26,GBP,Outbound,Liquidity Management
2024-09-22 23:16:44.530975,TXN_799,Bank B,30763.37,USD,Inbound,Settlement
2024-07-13 23:16:44.530975,TXN_766,Bank A,37175.77,EUR,Inbound,Settlement
2024-01-27 23:16:44.530975,TXN_112,Bank A,38273.84,USD,Outbound,Settlement
2024-06-06 23:16:44.530975,TXN_69,Bank A,27961.45,GBP,Inbound,Settlement
2023-12-22 23:16:44.530975,TXN_536,Bank B,38236.85,GBP,Outbound,Settlement
2023-12-25 23:16:44.530975,TXN_417,Bank A,44073.93,USD,Outbound,Settlement
2023-12-12 23:16:44.530975,TXN_112,Bank B,34988.5,USD,Outbound,Liquidity Management
2023-10-16 23:16:44.530975,TXN_30,Bank B,11496.43,EUR,Outbound,Liquidity Management
2024-08-15 23:16:44.530975,TXN_789,Bank B,11470.9,EUR,Outbound,Settlement
2024-09-14 23:16:44.530975,TXN_463,Bank B,41364.05,GBP,Outbound,Liquidity Management
2024-05-18 23:16:44.530975,TXN_102,Bank B,11680.28,USD,Inbound,Settlement
2023-10-30 23:16:44.530975,TXN_63,Bank B,15875.62,USD,Outbound,Liquidity Management
2024-09-23 23:16:44.530975,TXN_757,Bank A,48764.03,EUR,Inbound,Liquidity Management
2024-05-29 23:16:44.531236,TXN_255,Bank B,46737.94,GBP,Inbound,Settlement
2024-04-26 23:16:44.531236,TXN_841,Bank C,30206.66,GBP,Inbound,Liquidity Management
2023-11-24 23:16:44.531236,TXN_269,Bank C,40674.06,GBP,Outbound,Liquidity Management
2024-04-01 23:16:44.531236,TXN_755,Bank B,33250.61,USD,Outbound,Settlement
2024-05-17 23:16:44.531236,TXN_291,Bank C,14991.35,USD,Inbound,Liquidity Management
2023-11-08 23:16:44.531236,TXN_341,Bank A,44589.44,EUR,Outbound,Liquidity Management
2024-08-03 23:16:44.531236,TXN_303,Bank C,25957.56,GBP,Inbound,Settlement
2024-01-26 23:16:44.531236,TXN_20,Bank B,32307.38,USD,Outbound,Settlement
2024-03-09 23:16:44.531236,TXN_495,Bank C,33848.01,USD,Inbound,Liquidity Management
2024-02-11 23:16:44.531236,TXN_831,Bank A,22922.38,USD,Outbound,Liquidity Management
2024-09-26 23:16:44.531236,TXN_446,Bank B,49162.4,GBP,Inbound,Liquidity Management
2023-12-05 23:16:44.531236,TXN_394,Bank A,41938.97,GBP,Inbound,Settlement
2024-03-30 23:16:44.531236,TXN_744,Bank A,47135.28,GBP,Inbound,Liquidity Management
2024-09-09 23:16:44.531236,TXN_945,Bank C,20266.13,USD,Inbound,Settlement
2024-09-25 23:16:44.531236,TXN_945,Bank A,18515.77,USD,Inbound,Settlement
2024-04-09 23:16:44.531236,TXN_488,Bank A,26742.93,EUR,Inbound,Settlement
2024-01-18 23:16:44.531236,TXN_689,Bank C,47214.47,EUR,Outbound,Liquidity Management
2024-09-26 23:16:44.531236,TXN_545,Bank B,40652.46,GBP,Outbound,Settlement
2023-10-12 23:16:44.531236,TXN_632,Bank B,17497.81,EUR,Outbound,Settlement
2024-02-12 23:16:44.531236,TXN_444,Bank C,16581.96,EUR,Inbound,Liquidity Management
2024-07-31 23:16:44.531236,TXN_632,Bank A,15676.32,USD,Outbound,Liquidity Management
2024-04-30 23:16:44.531236,TXN_935,Bank A,47596.73,GBP,Outbound,Liquidity Management
2024-05-17 23:16:44.531236,TXN_629,Bank C,25918.91,GBP,Inbound,Settlement
2024-03-24 23:16:44.531236,TXN_914,Bank B,27100.97,USD,Outbound,Liquidity Management
2024-05-29 23:16:44.531236,TXN_269,Bank B,26450.59,USD,Inbound,Settlement
2024-07-12 23:16:44.531236,TXN_888,Bank C,18852.12,EUR,Inbound,Settlement
2024-05-07 23:16:44.531236,TXN_264,Bank C,24370.41,USD,Inbound,Liquidity Management
2023-11-20 23:16:44.531236,TXN_661,Bank A,35964.05,GBP,Outbound,Settlement
2024-05-31 23:16:44.531236,TXN_463,Bank C,21897.72,GBP,Outbound,Settlement
2024-07-28 23:16:44.531236,TXN_943,Bank C,41523.37,USD,Outbound,Settlement
2023-11-25 23:16:44.531236,TXN_66,Bank A,38256.13,GBP,Inbound,Liquidity Management
2024-03-31 23:16:44.531236,TXN_177,Bank A,41455.27,USD,Inbound,Settlement
2024-01-27 23:16:44.531236,TXN_426,Bank C,45889.91,USD,Outbound,Settlement
2024-07-09 23:16:44.531236,TXN_108,Bank C,16765.19,USD,Outbound,Liquidity Management
2023-10-21 23:16:44.531236,TXN_662,Bank A,34174.0,USD,Inbound,Liquidity Management
2024-03-10 23:16:44.531236,TXN_859,Bank C,40307.1,GBP,Outbound,Settlement
2024-02-24 23:16:44.531236,TXN_590,Bank A,24105.4,USD,Inbound,Liquidity Management
2023-10-09 23:16:44.531236,TXN_782,Bank A,26315.58,EUR,Inbound,Liquidity Management
2024-05-13 23:16:44.531236,TXN_830,Bank B,22582.51,USD,Outbound,Settlement
2024-01-07 23:16:44.531236,TXN_309,Bank A,29281.4,EUR,Inbound,Liquidity Management
2023-12-26 23:16:44.531236,TXN_654,Bank A,34776.77,USD,Inbound,Settlement
2023-11-18 23:16:44.531236,TXN_838,Bank C,45035.34,EUR,Inbound,Liquidity Management
2024-05-16 23:16:44.531236,TXN_993,Bank B,17994.97,GBP,Outbound,Liquidity Management
2024-06-14 23:16:44.531236,TXN_407,Bank C,21888.77,USD,Outbound,Liquidity Management
2023-11-28 23:16:44.531236,TXN_12,Bank B,17804.21,USD,Inbound,Liquidity Management
2024-07-21 23:16:44.531236,TXN_332,Bank B,15573.77,EUR,Inbound,Liquidity Management
2023-10-13 23:16:44.531236,TXN_420,Bank B,29452.86,EUR,Outbound,Liquidity Management
2024-03-12 23:16:44.531236,TXN_721,Bank C,39905.09,GBP,Outbound,Liquidity Management
2024-06-09 23:16:44.531236,TXN_849,Bank B,14717.32,USD,Inbound,Settlement
2024-07-08 23:16:44.531236,TXN_118,Bank B,44625.42,EUR,Inbound,Settlement
2024-08-03 23:16:44.531236,TXN_816,Bank C,42047.25,USD,Outbound,Liquidity Management
2024-05-18 23:16:44.531236,TXN_971,Bank B,48938.73,EUR,Inbound,Settlement
2024-07-16 23:16:44.531236,TXN_388,Bank A,19252.36,EUR,Outbound,Settlement
2023-12-10 23:16:44.531236,TXN_426,Bank C,40400.1,EUR,Inbound,Liquidity Management
2023-10-15 23:16:44.531236,TXN_275,Bank A,24076.5,USD,Outbound,Liquidity Management
2024-01-24 23:16:44.531236,TXN_56,Bank C,13781.33,EUR,Inbound,Liquidity Management
2024-01-14 23:16:44.531236,TXN_619,Bank A,19499.25,USD,Outbound,Liquidity Management
2024-06-01 23:16:44.531236,TXN_604,Bank C,35832.23,GBP,Outbound,Liquidity Management
2024-06-07 23:16:44.531236,TXN_435,Bank B,22500.91,EUR,Outbound,Settlement
2023-11-16 23:16:44.531236,TXN_549,Bank C,44027.2,EUR,Outbound,Liquidity Management
2024-05-08 23:16:44.531236,TXN_81,Bank B,35672.67,EUR,Outbound,Liquidity Management
2024-02-10 23:16:44.531236,TXN_975,Bank A,43426.23,GBP,Inbound,Liquidity Management
2024-06-09 23:16:44.531236,TXN_365,Bank C,43955.33,GBP,Inbound,Settlement
2024-05-23 23:16:44.531236,TXN_35,Bank C,21810.44,EUR,Inbound,Liquidity Management
2024-07-30 23:16:44.531236,TXN_880,Bank A,20412.28,USD,Outbound,Settlement
2024-02-21 23:16:44.531236,TXN_282,Bank B,10439.56,EUR,Inbound,Settlement
2024-09-22 23:16:44.531236,TXN_517,Bank B,15335.28,GBP,Outbound,Settlement
2024-06-26 23:16:44.531236,TXN_896,Bank C,14670.52,USD,Inbound,Liquidity Management
2024-05-07 23:16:44.531236,TXN_579,Bank B,37718.15,EUR,Outbound,Liquidity Management
2024-05-20 23:16:44.531236,TXN_105,Bank B,44728.41,USD,Inbound,Settlement
2024-07-15 23:16:44.531236,TXN_638,Bank B,37526.41,GBP,Outbound,Settlement
2024-10-04 23:16:44.531236,TXN_817,Bank A,12330.53,USD,Inbound,Settlement
2024-06-15 23:16:44.531236,TXN_781,Bank C,20287.28,EUR,Inbound,Liquidity Management
2024-02-06 23:16:44.531236,TXN_554,Bank B,25886.48,USD,Outbound,Settlement
2024-06-04 23:16:44.531236,TXN_487,Bank B,44017.33,EUR,Inbound,Settlement
2024-09-25 23:16:44.531236,TXN_665,Bank C,49105.46,USD,Outbound,Liquidity Management
2024-07-15 23:16:44.531236,TXN_558,Bank A,19532.19,USD,Inbound,Liquidity Management
2024-02-28 23:16:44.531236,TXN_518,Bank B,42369.17,USD,Inbound,Liquidity Management
2024-01-03 23:16:44.531236,TXN_961,Bank C,17960.08,EUR,Outbound,Settlement
2024-01-18 23:16:44.531236,TXN_181,Bank A,41459.2,EUR,Outbound,Liquidity Management
2024-02-17 23:16:44.531236,TXN_878,Bank B,20004.75,USD,Outbound,Settlement
2023-10-25 23:16:44.531236,TXN_230,Bank A,19590.53,EUR,Inbound,Liquidity Management
2024-04-11 23:16:44.531236,TXN_399,Bank B,15223.01,EUR,Inbound,Liquidity Management
2023-12-01 23:16:44.531236,TXN_925,Bank C,47738.71,EUR,Outbound,Settlement
2023-12-20 23:16:44.531236,TXN_743,Bank B,13466.83,EUR,Outbound,Settlement
2024-08-23 23:16:44.531236,TXN_217,Bank B,18120.52,EUR,Inbound,Settlement
2024-01-21 23:16:44.531236,TXN_534,Bank B,48509.09,USD,Inbound,Liquidity Management
2024-06-28 23:16:44.531236,TXN_875,Bank B,26053.28,EUR,Inbound,Liquidity Management
2024-01-05 23:16:44.531236,TXN_385,Bank B,11271.82,USD,Inbound,Liquidity Management
2024-03-07 23:16:44.531236,TXN_423,Bank A,42210.69,USD,Inbound,Liquidity Management
2023-10-26 23:16:44.531236,TXN_989,Bank B,16219.04,EUR,Inbound,Settlement
2024-01-20 23:16:44.531236,TXN_330,Bank B,45134.06,EUR,Inbound,Liquidity Management
2024-04-10 23:16:44.531236,TXN_658,Bank A,43896.14,USD,Inbound,Settlement
2023-10-10 23:16:44.531236,TXN_459,Bank B,22904.22,EUR,Outbound,Settlement
2024-07-03 23:16:44.531236,TXN_395,Bank C,48825.63,USD,Inbound,Liquidity Management
2024-02-10 23:16:44.531236,TXN_684,Bank A,36904.84,USD,Inbound,Settlement
2024-01-11 23:16:44.531236,TXN_389,Bank A,30909.92,GBP,Inbound,Liquidity Management
2023-10-06 23:16:44.531236,TXN_220,Bank A,13942.94,EUR,Inbound,Settlement
2023-10-06 23:16:44.531236,TXN_427,Bank B,11846.92,GBP,Outbound,Liquidity Management
2024-01-09 23:16:44.531236,TXN_540,Bank C,49152.35,GBP,Outbound,Settlement
2024-07-17 23:16:44.531236,TXN_985,Bank B,49454.33,GBP,Inbound,Settlement
2024-08-20 23:16:44.531236,TXN_791,Bank C,27080.29,EUR,Outbound,Settlement
2024-06-26 23:16:44.531236,TXN_788,Bank B,10700.51,EUR,Outbound,Liquidity Management
2023-11-25 23:16:44.531236,TXN_252,Bank B,26968.15,GBP,Inbound,Liquidity Management
2024-03-04 23:16:44.531236,TXN_748,Bank C,14635.74,EUR,Inbound,Settlement
2024-07-28 23:16:44.531236,TXN_790,Bank A,49867.28,EUR,Outbound,Settlement
2024-08-23 23:16:44.531236,TXN_47,Bank B,45936.98,GBP,Inbound,Liquidity Management
2024-09-06 23:16:44.531236,TXN_144,Bank C,47930.77,GBP,Inbound,Settlement
2024-03-31 23:16:44.531236,TXN_78,Bank C,25926.86,USD,Inbound,Liquidity Management
2023-11-07 23:16:44.531236,TXN_534,Bank C,23939.91,EUR,Outbound,Liquidity Management
2023-10-11 23:16:44.531236,TXN_484,Bank A,24564.7,USD,Outbound,Liquidity Management
2024-01-22 23:16:44.531236,TXN_11,Bank A,35357.85,USD,Outbound,Settlement
2023-10-22 23:16:44.531236,TXN_530,Bank A,28510.83,EUR,Inbound,Liquidity Management
2023-11-11 23:16:44.531236,TXN_104,Bank B,21368.76,USD,Inbound,Settlement
2024-09-13 23:16:44.531236,TXN_427,Bank C,44386.85,GBP,Outbound,Liquidity Management
2024-02-10 23:16:44.531236,TXN_486,Bank C,18272.93,USD,Inbound,Settlement
2023-12-14 23:16:44.531236,TXN_465,Bank A,28365.06,USD,Inbound,Settlement
2024-06-29 23:16:44.531236,TXN_582,Bank C,49724.05,USD,Inbound,Liquidity Management
2024-09-17 23:16:44.531236,TXN_134,Bank A,28815.56,USD,Inbound,Settlement
2024-06-27 23:16:44.531236,TXN_512,Bank A,44734.26,GBP,Inbound,Liquidity Management
2023-12-11 23:16:44.531236,TXN_294,Bank B,32884.2,GBP,Outbound,Settlement
2024-08-23 23:16:44.531236,TXN_423,Bank C,15271.85,EUR,Inbound,Liquidity Management
2024-05-30 23:16:44.531236,TXN_786,Bank C,48550.95,USD,Inbound,Liquidity Management
2024-05-01 23:16:44.531236,TXN_806,Bank B,11380.14,GBP,Outbound,Liquidity Management
2023-10-25 23:16:44.531236,TXN_664,Bank A,43804.36,GBP,Inbound,Settlement
2024-04-28 23:16:44.531236,TXN_714,Bank C,37714.91,EUR,Inbound,Settlement
2024-07-26 23:16:44.531236,TXN_76,Bank B,49754.15,USD,Outbound,Liquidity Management
2024-07-30 23:16:44.531236,TXN_515,Bank A,33603.61,USD,Outbound,Liquidity Management
2023-10-31 23:16:44.531236,TXN_907,Bank B,46640.0,USD,Outbound,Liquidity Management
2024-02-29 23:16:44.531236,TXN_192,Bank B,15838.31,EUR,Inbound,Settlement
2024-01-11 23:16:44.531236,TXN_128,Bank C,26063.06,GBP,Inbound,Settlement
2024-03-29 23:16:44.531236,TXN_101,Bank C,33189.65,GBP,Outbound,Settlement
