Loan_ID,Customer_ID,Loan_Date,Loan_Amount,Loan_Type,Loan_Term,Interest_Rate,Interest_Inflow
24,CUST_49825,2024-05-09 23:15:53.443976,20806.93,Personal,48,0.09,7490.4947999999995
25,CUST_2681,2024-07-28 23:15:53.443976,41417.85,Personal,48,0.09,14910.426
26,CUST_10847,2024-05-21 23:15:53.443976,10759.99,Personal,12,0.06,645.5994
27,CUST_28717,2023-12-03 23:15:53.443976,39755.65,Auto,48,0.1,15902.260000000002
28,CUST_43221,2024-07-31 23:15:53.443976,13725.97,Home,12,0.05,686.2985
29,CUST_6710,2024-04-09 23:15:53.443976,41235.68,Home,48,0.08,13195.4176
30,CUST_49924,2023-12-03 23:15:53.443976,30443.06,Home,24,0.06,3653.1672
31,CUST_39459,2024-03-11 23:15:53.443976,16527.12,Auto,48,0.1,6610.848
32,CUST_28027,2024-01-28 23:15:53.443976,27504.83,Home,12,0.05,1375.2415
33,CUST_30117,2024-03-13 23:15:53.443976,19567.47,Home,36,0.07,4109.1687
34,CUST_14758,2024-01-24 23:15:53.443976,35121.2,Home,24,0.06,4214.544
35,CUST_6060,2023-11-27 23:15:53.443976,17735.76,Auto,36,0.09,4788.655199999999
36,CUST_37120,2024-02-24 23:15:53.443976,46801.76,Personal,12,0.06,2808.1056
37,CUST_40530,2024-02-26 23:15:53.443976,29860.21,Home,24,0.06,3583.2252
38,CUST_14486,2024-05-09 23:15:53.443976,10787.37,Home,36,0.07,2265.3477000000003
39,CUST_15572,2024-01-30 23:15:53.443976,39465.53,Auto,24,0.08,6314.4848
40,CUST_36007,2024-02-12 23:15:53.443976,39342.16,Personal,48,0.09,14163.1776
41,CUST_44418,2024-01-10 23:15:53.443976,36989.35,Home,36,0.07,7767.7635
42,CUST_4323,2024-07-01 23:15:53.443976,20745.2,Personal,24,0.07,2904.3280000000004
43,CUST_23313,2024-08-16 23:15:53.443976,33843.62,Personal,12,0.06,2030.6172000000001
44,CUST_29613,2023-10-14 23:15:53.443976,27094.32,Auto,24,0.08,4335.0912
45,CUST_22148,2024-04-14 23:15:53.443976,34526.03,Auto,12,0.07,2416.8221000000003
46,CUST_15190,2023-10-31 23:15:53.443976,8772.76,Home,48,0.08,2807.2832000000003
47,CUST_27608,2024-08-21 23:15:53.443976,6635.96,Personal,48,0.09,2388.9456
48,CUST_29709,2024-07-18 23:15:53.443976,36393.47,Auto,12,0.07,2547.5429000000004
49,CUST_41802,2024-01-27 23:15:53.443976,23990.72,Auto,48,0.1,9596.288
50,CUST_26069,2023-10-17 23:15:53.443976,26532.72,Personal,12,0.06,1591.9632
51,CUST_14352,2024-08-18 23:15:53.443976,48235.82,Home,36,0.07,10129.522200000001
52,CUST_10337,2024-03-10 23:15:53.443976,41071.94,Home,12,0.05,2053.597
53,CUST_33634,2024-06-19 23:15:53.443976,46436.47,Personal,24,0.07,6501.105800000001
54,CUST_6136,2024-06-18 23:15:53.443976,40722.38,Auto,24,0.08,6515.5808
55,CUST_3347,2023-10-17 23:15:53.443976,40252.52,Home,48,0.08,12880.8064
56,CUST_4318,2024-04-05 23:15:53.443976,5868.28,Personal,12,0.06,352.0968
57,CUST_6803,2023-10-20 23:15:53.443976,38777.6,Home,48,0.08,12408.832
58,CUST_45588,2024-08-31 23:15:53.443976,33520.47,Home,24,0.06,4022.4564
59,CUST_45421,2023-12-30 23:15:53.443976,8173.32,Personal,24,0.07,1144.2648000000002
60,CUST_941,2024-01-18 23:15:53.443976,38779.61,Personal,36,0.08,9307.1064
61,CUST_41497,2023-11-10 23:15:53.443976,6817.16,Auto,36,0.09,1840.6332
62,CUST_28937,2024-04-24 23:15:53.443976,44873.81,Personal,36,0.08,10769.714399999999
63,CUST_18455,2024-07-11 23:15:53.443976,5543.86,Auto,36,0.09,1496.8421999999998
64,CUST_11359,2024-09-02 23:15:53.443976,27105.78,Auto,24,0.08,4336.9248
65,CUST_17661,2024-07-03 23:15:53.443976,29330.55,Home,12,0.05,1466.5275000000001
66,CUST_41171,2023-12-12 23:15:53.443976,41400.49,Auto,12,0.07,2898.0343000000003
67,CUST_10032,2023-11-01 23:15:53.443976,41308.07,Home,36,0.07,8674.6947
68,CUST_44978,2024-04-29 23:15:53.443976,23959.0,Home,12,0.05,1197.95
69,CUST_2346,2024-01-11 23:15:53.443976,12235.09,Home,48,0.08,3915.2288000000003
70,CUST_13496,2024-02-07 23:15:53.443976,6283.17,Personal,36,0.08,1507.9608
71,CUST_34977,2024-02-26 23:15:53.443976,21415.73,Auto,12,0.07,1499.1011
72,CUST_28391,2024-02-11 23:15:53.443976,33044.37,Auto,36,0.09,8921.9799
73,CUST_29359,2024-03-04 23:15:53.443976,15957.81,Personal,12,0.06,957.4685999999999
74,CUST_11379,2024-09-06 23:15:53.443976,24308.62,Auto,36,0.09,6563.3274
75,CUST_334,2023-12-01 23:15:53.443976,9048.6,Auto,24,0.08,1447.776
76,CUST_40941,2023-10-22 23:15:53.443976,47628.62,Personal,36,0.08,11430.8688
77,CUST_20330,2024-05-14 23:15:53.443976,41273.28,Auto,12,0.07,2889.1296
78,CUST_19426,2024-01-31 23:15:53.443976,11385.69,Personal,24,0.07,1593.9966000000002
79,CUST_40078,2023-10-13 23:15:53.443976,19127.44,Auto,36,0.09,5164.408799999999
80,CUST_46150,2024-04-28 23:15:53.443976,9664.04,Home,12,0.05,483.20200000000006
81,CUST_21990,2024-07-20 23:15:53.443976,36966.79,Personal,12,0.06,2218.0074
82,CUST_43547,2024-09-30 23:15:53.443976,44964.14,Auto,24,0.08,7194.2624
83,CUST_46513,2024-01-24 23:15:53.443976,43037.63,Home,36,0.07,9037.902300000002
84,CUST_4357,2024-08-06 23:15:53.443976,18293.73,Home,48,0.08,5853.9936
85,CUST_7751,2024-03-29 23:15:53.443976,10821.33,Home,36,0.07,2272.4793
86,CUST_18621,2024-08-03 23:15:53.443976,6291.31,Auto,12,0.07,440.39170000000007
87,CUST_49702,2024-09-07 23:15:53.443976,39923.02,Home,24,0.06,4790.7624
88,CUST_37503,2023-12-20 23:15:53.443976,27368.54,Home,12,0.05,1368.4270000000001
89,CUST_30843,2024-10-03 23:15:53.443976,24221.25,Personal,24,0.07,3390.9750000000004
90,CUST_44469,2024-09-25 23:15:53.443976,32722.44,Home,24,0.06,3926.6928
91,CUST_20319,2024-05-13 23:15:53.443976,48764.82,Personal,48,0.09,17555.335199999998
92,CUST_11010,2023-10-11 23:15:53.443976,46476.26,Auto,36,0.09,12548.5902
93,CUST_22078,2024-06-20 23:15:53.443976,32961.5,Personal,24,0.07,4614.610000000001
94,CUST_39067,2023-12-04 23:15:53.443976,12036.81,Personal,12,0.06,722.2085999999999
95,CUST_13065,2024-05-12 23:15:53.443976,25373.87,Personal,24,0.07,3552.3418
96,CUST_43028,2023-12-11 23:15:53.443976,10657.24,Home,12,0.05,532.862
97,CUST_39032,2024-04-12 23:15:53.443976,45731.57,Auto,36,0.09,12347.5239
98,CUST_22665,2024-08-21 23:15:53.443976,24450.87,Personal,24,0.07,3423.1218000000003
99,CUST_42735,2024-06-21 23:15:53.443976,9706.08,Home,48,0.08,3105.9456
100,CUST_15271,2024-08-27 23:15:53.443976,17560.5,Home,48,0.08,5619.36
101,CUST_13203,2024-08-05 23:15:53.443976,37655.11,Personal,48,0.09,13555.8396
102,CUST_48373,2023-12-12 23:15:53.443976,49123.82,Auto,48,0.1,19649.528000000002
103,CUST_461,2024-03-02 23:15:53.443976,48844.44,Home,24,0.06,5861.3328
104,CUST_7438,2024-08-19 23:15:53.443976,35984.76,Personal,48,0.09,12954.5136
105,CUST_49786,2024-06-26 23:15:53.443976,18502.84,Personal,48,0.09,6661.0224
106,CUST_35243,2024-06-19 23:15:53.443976,45108.89,Home,24,0.06,5413.0668
107,CUST_17650,2024-01-08 23:15:53.443976,32123.44,Auto,24,0.08,5139.7504
108,CUST_40271,2023-10-14 23:15:53.443976,9115.61,Personal,36,0.08,2187.7464
109,CUST_42966,2024-07-11 23:15:53.443976,26006.33,Home,36,0.07,5461.3293
110,CUST_49706,2024-04-09 23:15:53.443976,25277.38,Auto,24,0.08,4044.3808000000004
111,CUST_14309,2024-06-25 23:15:53.443976,12325.45,Personal,36,0.08,2958.108
112,CUST_7878,2024-05-18 23:15:53.443976,13366.49,Home,24,0.06,1603.9787999999999
113,CUST_39211,2023-10-29 23:15:53.443976,5024.8,Auto,24,0.08,803.9680000000001
114,CUST_35936,2023-10-20 23:15:53.443976,48012.33,Personal,24,0.07,6721.726200000001
115,CUST_36867,2023-11-07 23:15:53.443976,34270.8,Personal,12,0.06,2056.248
116,CUST_45447,2024-06-17 23:15:53.443976,45312.28,Personal,36,0.08,10874.947199999999
117,CUST_3074,2023-12-12 23:15:53.443976,11323.66,Personal,48,0.09,4076.5175999999997
118,CUST_39817,2024-02-21 23:15:53.443976,36738.07,Auto,24,0.08,5878.0912
119,CUST_25931,2023-10-20 23:15:53.443976,13499.78,Auto,36,0.09,3644.9406
120,CUST_18258,2024-05-23 23:15:53.443976,29529.79,Personal,24,0.07,4134.1706
121,CUST_37487,2023-11-13 23:15:53.443976,6680.62,Auto,24,0.08,1068.8992
122,CUST_39343,2024-05-10 23:15:53.443976,18700.72,Personal,24,0.07,2618.1008000000006
123,CUST_14213,2024-04-14 23:15:53.443976,41587.12,Personal,12,0.06,2495.2272000000003
124,CUST_19087,2024-01-01 23:15:53.443976,10298.32,Auto,48,0.1,4119.328
125,CUST_48649,2024-05-26 23:15:53.443976,42418.66,Personal,12,0.06,2545.1196
126,CUST_3708,2024-05-28 23:15:53.443976,42093.59,Auto,36,0.09,11365.269299999998
127,CUST_33103,2024-05-05 23:15:53.443976,8293.44,Personal,24,0.07,1161.0816000000002
128,CUST_20810,2024-07-26 23:15:53.443976,47872.96,Auto,48,0.1,19149.184
129,CUST_12779,2024-08-26 23:15:53.443976,44362.27,Personal,12,0.06,2661.7362
130,CUST_38976,2024-06-26 23:15:53.443976,37074.39,Home,36,0.07,7785.6219
131,CUST_28669,2024-04-01 23:15:53.443976,38745.79,Auto,48,0.1,15498.316
132,CUST_2389,2024-03-29 23:15:53.443976,35472.1,Personal,12,0.06,2128.326
133,CUST_17310,2024-08-18 23:15:53.443976,10101.14,Home,24,0.06,1212.1368
134,CUST_12217,2024-08-14 23:15:53.443976,23603.48,Home,48,0.08,7553.1136
135,CUST_48820,2023-12-24 23:15:53.443976,41960.76,Home,36,0.07,8811.759600000001
136,CUST_18543,2024-06-25 23:15:53.443976,15746.0,Auto,48,0.1,6298.400000000001
137,CUST_49337,2024-01-02 23:15:53.443976,9210.7,Home,24,0.06,1105.284
138,CUST_13092,2024-07-28 23:15:53.443976,28995.49,Personal,48,0.09,10438.376400000001
139,CUST_6652,2023-12-24 23:15:53.443976,25974.45,Auto,36,0.09,7013.1015
140,CUST_47991,2024-03-06 23:15:53.443976,33654.72,Home,24,0.06,4038.5664
141,CUST_16810,2024-07-15 23:15:53.443976,46041.1,Home,24,0.06,5524.932
142,CUST_48954,2024-01-04 23:15:53.443976,42301.83,Personal,12,0.06,2538.1098
143,CUST_3579,2024-07-29 23:15:53.443976,13272.37,Home,36,0.07,2787.1977000000006
144,CUST_24869,2024-04-18 23:15:53.443976,16089.48,Personal,12,0.06,965.3688
145,CUST_13192,2023-12-13 23:15:53.443976,49064.21,Personal,24,0.07,6868.9894
146,CUST_25187,2024-05-06 23:15:53.443976,47273.33,Personal,24,0.07,6618.266200000001
147,CUST_39428,2024-09-06 23:15:53.443976,49410.2,Home,36,0.07,10376.142
148,CUST_43725,2024-03-04 23:15:53.443976,47062.41,Auto,24,0.08,7529.985600000001
149,CUST_24284,2024-01-04 23:15:53.443976,13949.73,Auto,48,0.1,5579.892
150,CUST_18370,2024-01-15 23:15:53.443976,11509.65,Personal,36,0.08,2762.316
151,CUST_35063,2023-12-05 23:15:53.443976,18720.83,Personal,36,0.08,4492.9992
152,CUST_43359,2024-02-09 23:15:53.443976,38758.16,Auto,36,0.09,10464.7032
153,CUST_26694,2024-05-19 23:15:53.443976,49125.51,Personal,36,0.08,11790.1224
154,CUST_39897,2024-08-03 23:15:53.443976,45286.76,Home,36,0.07,9510.2196
155,CUST_12694,2024-03-12 23:15:53.443976,8895.55,Home,24,0.06,1067.466
156,CUST_21014,2024-03-31 23:15:53.443976,10192.19,Home,36,0.07,2140.3599000000004
157,CUST_19853,2023-12-06 23:15:53.443976,33986.63,Auto,12,0.07,2379.0641
158,CUST_9011,2024-07-07 23:15:53.443976,37849.32,Auto,48,0.1,15139.728000000001
159,CUST_28220,2023-10-24 23:15:53.443976,22967.04,Personal,12,0.06,1378.0224
160,CUST_35217,2024-05-07 23:15:53.443976,37294.65,Auto,24,0.08,5967.144
161,CUST_18793,2024-06-07 23:15:53.443976,45513.36,Personal,48,0.09,16384.8096
162,CUST_48298,2024-03-20 23:15:53.443976,37651.06,Auto,36,0.09,10165.786199999999
163,CUST_15131,2024-04-24 23:15:53.443976,26684.25,Home,48,0.08,8538.960000000001
164,CUST_22233,2023-10-27 23:15:53.443976,31595.37,Personal,12,0.06,1895.7222
165,CUST_44864,2023-11-03 23:15:53.443976,35039.4,Auto,36,0.09,9460.637999999999
166,CUST_24975,2023-12-15 23:15:53.443976,13762.24,Auto,36,0.09,3715.8048
167,CUST_23460,2024-01-31 23:15:53.443976,11076.05,Home,36,0.07,2325.9705
168,CUST_21944,2024-05-24 23:15:53.443976,45035.34,Home,36,0.07,9457.421400000001
169,CUST_11025,2024-02-01 23:15:53.443976,32216.64,Auto,48,0.1,12886.656
170,CUST_17738,2024-03-08 23:15:53.443976,32635.58,Home,24,0.06,3916.2696
171,CUST_25276,2023-10-21 23:15:53.443976,12034.91,Personal,36,0.08,2888.3784
172,CUST_38337,2023-12-20 23:15:53.443976,13328.21,Home,36,0.07,2798.9241
173,CUST_24802,2023-11-13 23:15:53.443976,45604.58,Auto,48,0.1,18241.832000000002
174,CUST_47849,2024-02-01 23:15:53.443976,8973.9,Personal,24,0.07,1256.346
175,CUST_45014,2023-11-01 23:15:53.443976,9925.33,Home,24,0.06,1191.0395999999998
176,CUST_30727,2023-10-07 23:15:53.443976,29442.46,Home,12,0.05,1472.123
177,CUST_20653,2024-08-27 23:15:53.443976,35832.15,Home,12,0.05,1791.6075
178,CUST_16607,2023-12-07 23:15:53.443976,24078.25,Home,36,0.07,5056.432500000001
179,CUST_37027,2024-05-13 23:15:53.443976,27795.14,Personal,24,0.07,3891.3196000000003
180,CUST_40880,2024-08-18 23:15:53.443976,23652.08,Auto,36,0.09,6386.061600000001
181,CUST_20759,2023-10-12 23:15:53.443976,16189.91,Personal,36,0.08,3885.5784000000003
182,CUST_6182,2024-04-11 23:15:53.443976,42812.41,Personal,24,0.07,5993.737400000001
183,CUST_20431,2024-02-25 23:15:53.443976,43450.7,Personal,36,0.08,10428.168
184,CUST_22759,2024-01-09 23:15:53.443976,45708.45,Personal,12,0.06,2742.5069999999996
185,CUST_26647,2024-06-10 23:15:53.443976,29576.38,Home,24,0.06,3549.1656
186,CUST_5537,2024-08-15 23:15:53.443976,17409.47,Personal,12,0.06,1044.5682
187,CUST_7873,2024-02-04 23:15:53.443976,23500.87,Home,48,0.08,7520.2784
188,CUST_19596,2023-11-09 23:15:53.443976,17396.01,Auto,36,0.09,4696.922699999999
189,CUST_35278,2024-06-10 23:15:53.443976,34066.47,Auto,24,0.08,5450.635200000001
190,CUST_18089,2024-07-17 23:15:53.443976,12220.7,Personal,36,0.08,2932.9680000000003
191,CUST_6571,2024-05-02 23:15:53.443976,25578.55,Personal,12,0.06,1534.713
192,CUST_10858,2024-08-19 23:15:53.443976,19706.92,Personal,36,0.08,4729.6608
193,CUST_8814,2023-11-15 23:15:53.443976,45923.64,Home,48,0.08,14695.5648
194,CUST_13834,2024-09-11 23:15:53.443976,13919.16,Auto,24,0.08,2227.0656
195,CUST_33760,2024-07-29 23:15:53.443976,40778.69,Personal,24,0.07,5709.016600000001
196,CUST_22796,2024-01-14 23:15:53.443976,39086.36,Personal,36,0.08,9380.7264
197,CUST_15352,2024-02-07 23:15:53.443976,14217.41,Auto,36,0.09,3838.7007000000003
198,CUST_36670,2024-08-21 23:15:53.443976,36975.78,Auto,24,0.08,5916.1248
199,CUST_19563,2024-03-02 23:15:53.443976,40798.77,Personal,12,0.06,2447.9262
200,CUST_1501,2024-01-11 23:15:53.443976,47620.65,Auto,12,0.07,3333.4455000000003
201,CUST_22939,2024-05-07 23:15:53.443976,32894.16,Personal,12,0.06,1973.6496000000002
202,CUST_1399,2023-12-28 23:15:53.443976,46383.08,Home,48,0.08,14842.5856
203,CUST_7693,2023-11-29 23:15:53.443976,44224.0,Personal,36,0.08,10613.76
204,CUST_33093,2024-05-14 23:15:53.443976,48007.08,Personal,48,0.09,17282.5488
205,CUST_29053,2024-03-15 23:15:53.443976,48467.27,Auto,48,0.1,19386.908
206,CUST_16768,2023-10-31 23:15:53.443976,31405.16,Home,36,0.07,6595.083600000001
207,CUST_5930,2024-08-08 23:15:53.443976,18134.41,Auto,48,0.1,7253.764
208,CUST_40249,2024-02-24 23:15:53.443976,14886.57,Auto,12,0.07,1042.0599
209,CUST_10656,2024-03-16 23:15:53.443976,15047.93,Home,48,0.08,4815.3376
210,CUST_46812,2024-03-03 23:15:53.443976,8939.08,Personal,12,0.06,536.3448
211,CUST_43211,2024-03-19 23:15:53.443976,45161.13,Auto,12,0.07,3161.2791
212,CUST_40545,2023-11-10 23:15:53.443976,42143.63,Personal,36,0.08,10114.4712
213,CUST_29803,2023-11-23 23:15:53.443976,49520.83,Home,12,0.05,2476.0415000000003
214,CUST_20984,2024-04-26 23:15:53.443976,15406.41,Auto,48,0.1,6162.564
215,CUST_44701,2024-03-10 23:15:53.443976,28334.26,Auto,24,0.08,4533.4816
216,CUST_45773,2024-07-06 23:15:53.443976,33925.29,Home,48,0.08,10856.0928
217,CUST_25469,2024-06-23 23:15:53.443976,27974.7,Auto,24,0.08,4475.952
218,CUST_22206,2024-05-08 23:15:53.443976,30351.47,Personal,24,0.07,4249.205800000001
219,CUST_10049,2024-05-22 23:15:53.443976,34543.09,Personal,36,0.08,8290.3416
220,CUST_24058,2024-08-19 23:15:53.443976,27867.43,Auto,12,0.07,1950.7201000000002
221,CUST_28266,2024-01-26 23:15:53.443976,40719.97,Home,48,0.08,13030.3904
222,CUST_17785,2024-04-19 23:15:53.443976,22440.56,Home,36,0.07,4712.517600000001
223,CUST_8722,2023-12-05 23:15:53.443976,47810.25,Home,48,0.08,15299.28
224,CUST_23317,2024-07-01 23:15:53.443976,30948.58,Personal,36,0.08,7427.659200000001
225,CUST_37779,2024-04-18 23:15:53.443976,49508.68,Home,12,0.05,2475.434
226,CUST_3557,2024-05-03 23:15:53.443976,22865.6,Personal,24,0.07,3201.184
227,CUST_2290,2024-02-24 23:15:53.443976,17717.06,Auto,12,0.07,1240.1942000000001
228,CUST_41848,2024-09-23 23:15:53.443976,39948.21,Auto,24,0.08,6391.7136
229,CUST_39747,2023-12-08 23:15:53.443976,11058.21,Home,36,0.07,2322.2241
230,CUST_4157,2024-06-25 23:15:53.443976,36307.76,Auto,24,0.08,5809.2416
231,CUST_41880,2024-03-28 23:15:53.443976,46807.6,Personal,12,0.06,2808.4559999999997
232,CUST_3474,2024-08-13 23:15:53.443976,5724.07,Home,24,0.06,686.8883999999999
233,CUST_45897,2024-09-16 23:15:53.443976,23770.15,Home,36,0.07,4991.731500000001
234,CUST_6955,2024-08-06 23:15:53.443976,39158.13,Home,24,0.06,4698.9756
235,CUST_40020,2024-06-04 23:15:53.443976,35609.51,Home,48,0.08,11395.0432
236,CUST_31883,2024-08-24 23:15:53.443976,47069.19,Home,36,0.07,9884.529900000001
237,CUST_40254,2024-09-14 23:15:53.443976,8596.35,Personal,24,0.07,1203.4890000000003
238,CUST_39424,2024-08-12 23:15:53.443976,26383.41,Home,48,0.08,8442.6912
239,CUST_32509,2023-11-21 23:15:53.443976,38730.18,Personal,48,0.09,13942.8648
240,CUST_16048,2024-02-22 23:15:53.443976,40445.89,Auto,24,0.08,6471.3424
241,CUST_7406,2024-01-06 23:15:53.443976,23896.52,Home,12,0.05,1194.826
242,CUST_47497,2024-08-05 23:15:53.443976,38204.05,Personal,24,0.07,5348.567000000001
243,CUST_28306,2024-06-02 23:15:53.443976,31216.1,Auto,24,0.08,4994.576
244,CUST_10885,2024-08-31 23:15:53.443976,31264.27,Auto,12,0.07,2188.4989
245,CUST_45122,2024-10-03 23:15:53.443976,34462.7,Personal,48,0.09,12406.571999999998
246,CUST_9835,2024-06-10 23:15:53.443976,10529.69,Home,36,0.07,2211.2349000000004
247,CUST_4774,2024-06-17 23:15:53.443976,13930.31,Auto,24,0.08,2228.8496
248,CUST_30798,2023-12-06 23:15:53.443976,36419.74,Home,48,0.08,11654.316799999999
249,CUST_27360,2024-07-07 23:15:53.443976,12030.23,Auto,12,0.07,842.1161000000001
250,CUST_33916,2024-03-29 23:15:53.443976,21514.83,Auto,48,0.1,8605.932
251,CUST_13576,2023-10-11 23:15:53.443976,18714.81,Auto,48,0.1,7485.924000000001
252,CUST_27041,2023-12-27 23:15:53.443976,17045.34,Home,48,0.08,5454.5088000000005
253,CUST_8939,2024-02-16 23:15:53.444976,35314.22,Home,12,0.05,1765.7110000000002
254,CUST_21965,2023-11-01 23:15:53.444976,43359.02,Auto,12,0.07,3035.1314
255,CUST_11890,2024-02-25 23:15:53.444976,12974.32,Home,48,0.08,4151.7824
256,CUST_12137,2024-01-12 23:15:53.444976,40267.5,Home,36,0.07,8456.175000000001
257,CUST_10425,2024-09-20 23:15:53.444976,46682.37,Personal,12,0.06,2800.9422
258,CUST_45654,2024-05-20 23:15:53.444976,46137.76,Home,12,0.05,2306.8880000000004
259,CUST_46699,2024-02-15 23:15:53.444976,47100.62,Home,12,0.05,2355.0310000000004
260,CUST_42185,2024-06-02 23:15:53.444976,15700.89,Auto,48,0.1,6280.356
261,CUST_48515,2024-05-23 23:15:53.444976,49397.65,Home,48,0.08,15807.248000000001
262,CUST_35119,2024-08-22 23:15:53.444976,45217.57,Home,12,0.05,2260.8785000000003
263,CUST_3145,2024-05-05 23:15:53.444976,7545.01,Home,12,0.05,377.25050000000005
264,CUST_7118,2024-07-20 23:15:53.444976,38142.15,Home,48,0.08,12205.488000000001
265,CUST_44373,2024-04-09 23:15:53.444976,42735.92,Personal,12,0.06,2564.1551999999997
266,CUST_13225,2023-10-26 23:15:53.444976,40270.77,Personal,24,0.07,5637.9078
267,CUST_467,2024-05-14 23:15:53.444976,34960.04,Auto,12,0.07,2447.2028000000005
268,CUST_30661,2023-11-04 23:15:53.444976,31024.79,Home,36,0.07,6515.205900000001
269,CUST_37725,2024-04-08 23:15:53.444976,12463.46,Home,36,0.07,2617.3266000000003
270,CUST_42746,2024-07-15 23:15:53.444976,15544.22,Personal,12,0.06,932.6532
271,CUST_30784,2024-09-03 23:15:53.444976,6845.67,Home,36,0.07,1437.5907000000002
272,CUST_27050,2024-05-15 23:15:53.444976,20777.84,Auto,36,0.09,5610.016799999999
273,CUST_12673,2024-01-08 23:15:53.444976,13119.92,Auto,24,0.08,2099.1872
274,CUST_13090,2024-06-11 23:15:53.444976,32271.13,Personal,36,0.08,7745.0712
275,CUST_4970,2024-05-18 23:15:53.444976,15857.14,Personal,24,0.07,2219.9996
276,CUST_14829,2024-01-01 23:15:53.444976,16424.55,Personal,12,0.06,985.473
277,CUST_5297,2024-01-17 23:15:53.444976,10362.47,Personal,24,0.07,1450.7458000000001
278,CUST_47434,2024-04-09 23:15:53.444976,38161.44,Home,12,0.05,1908.0720000000001
279,CUST_5631,2024-03-17 23:15:53.444976,17402.81,Auto,48,0.1,6961.124000000001
280,CUST_2656,2024-08-26 23:15:53.444976,45861.67,Home,12,0.05,2293.0835
281,CUST_9678,2023-12-17 23:15:53.444976,34729.76,Home,24,0.06,4167.5712
282,CUST_16198,2023-11-19 23:15:53.444976,37529.76,Home,24,0.06,4503.5712
283,CUST_12883,2023-12-02 23:15:53.444976,13257.14,Auto,48,0.1,5302.856
284,CUST_16640,2024-10-02 23:15:53.444976,9181.42,Home,48,0.08,2938.0544
285,CUST_10155,2024-03-06 23:15:53.444976,48435.39,Home,12,0.05,2421.7695
286,CUST_20349,2023-11-27 23:15:53.444976,49459.42,Personal,48,0.09,17805.3912
287,CUST_44702,2023-12-08 23:15:53.444976,32000.9,Auto,24,0.08,5120.144
288,CUST_12001,2023-11-05 23:15:53.444976,15806.56,Home,48,0.08,5058.0992
289,CUST_42645,2023-12-28 23:15:53.444976,5998.8,Home,12,0.05,299.94
290,CUST_14226,2024-05-24 23:15:53.444976,40927.38,Home,12,0.05,2046.369
291,CUST_36689,2024-06-09 23:15:53.444976,16437.6,Auto,24,0.08,2630.0159999999996
292,CUST_37771,2024-09-05 23:15:53.444976,24029.83,Home,36,0.07,5046.264300000001
293,CUST_36402,2023-12-25 23:15:53.444976,40218.36,Home,12,0.05,2010.9180000000001
294,CUST_6879,2024-04-14 23:15:53.444976,20522.56,Auto,36,0.09,5541.091200000001
295,CUST_24899,2023-11-18 23:15:53.444976,21161.02,Home,36,0.07,4443.814200000001
296,CUST_34909,2024-09-19 23:15:53.444976,14267.35,Auto,24,0.08,2282.7760000000003
297,CUST_21186,2024-06-23 23:15:53.444976,16900.94,Personal,48,0.09,6084.3384
298,CUST_1057,2023-12-18 23:15:53.444976,34204.39,Personal,48,0.09,12313.580399999999
299,CUST_26526,2024-09-22 23:15:53.444976,20719.76,Home,12,0.05,1035.988
